Season,Week,Contestant,ballroom_partner,celebrity_industry,celebrity_age_during_season,Status,Judge_Total,Judge_Rank,Expected_Fan_Rank,Distinct_Fan_Rank,Model_Certainty,Prob_Rank_1
1,2,John O'Hurley,Charlotte Jorgensen,Actor/Actress,50,Safe,26.0,1.0,3.507148864592094,4,0.1883936080740118,0.1564339781328848
1,2,Kelly Monaco,Alec Mazo,Actor/Actress,29,Safe,17.0,5.0,2.8452481076534903,2,0.2253994953742641,0.21951219512195122
1,2,Evander Holyfield,Edyta Sliwinska,Athlete,42,Safe,14.0,6.0,2.231286795626577,1,0.3086627417998318,0.3086627417998318
1,2,Rachel Hunter,Jonathan Roberts,Model,35,Safe,24.0,2.0,3.537426408746846,5,0.1791421362489487,0.16400336417157274
1,2,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,32,Safe,21.0,3.0,3.433978132884777,3,0.20269133725820015,0.15138772077375945
1,2,Trista Sutter,Louis van Amstel,TV Personality,32,Eliminated,19.0,4.0,5.444911690496216,6,0.5508830950378469,0.0
1,3,John O'Hurley,Charlotte Jorgensen,Actor/Actress,50,Safe,24.0,2.0,2.9287731408848448,3,0.23282083464072795,0.23282083464072795
1,3,Kelly Monaco,Alec Mazo,Actor/Actress,29,Safe,21.0,4.0,2.4565422026984622,1,0.297458424850957,0.297458424850957
1,3,Evander Holyfield,Edyta Sliwinska,Athlete,42,Eliminated,13.0,5.0,3.7957326639472857,5,0.32601192343897084,0.014747411358644493
1,3,Rachel Hunter,Jonathan Roberts,Model,35,Safe,26.0,1.0,3.027925949168497,4,0.24631314716033886,0.21336680263570756
1,3,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,32,Safe,22.0,3.0,2.79102604330091,2,0.24160652651396297,0.24160652651396297
1,4,John O'Hurley,Charlotte Jorgensen,Actor/Actress,50,Safe,21.0,3.0,2.2380090497737557,2,0.41900452488687784,0.18099547511312217
1,4,Kelly Monaco,Alec Mazo,Actor/Actress,29,Safe,26.0,1.0,2.5719457013574663,3,0.38642533936651585,0.20361990950226244
1,4,Rachel Hunter,Jonathan Roberts,Model,35,Eliminated,25.0,2.0,3.805429864253394,4,0.8054298642533937,0.0
1,4,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,32,Safe,20.0,4.0,1.3846153846153846,1,0.6153846153846154,0.6153846153846154
1,5,John O'Hurley,Charlotte Jorgensen,Actor/Actress,50,Safe,27.0,1.0,1.9751387883176441,2,0.4091238233164374,0.4091238233164374
1,5,Kelly Monaco,Alec Mazo,Actor/Actress,29,Safe,23.5,2.0,1.8085928071445814,1,0.3972966449432778,0.3970552739560705
1,5,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,32,Eliminated,22.5,3.0,2.2162684045377747,3,0.4100893072652667,0.19382090272749217
1,6,John O'Hurley,Charlotte Jorgensen,Actor/Actress,50,2,27.0,2.0,1.5013999999999998,2,0.5014,0.4986
1,6,Kelly Monaco,Alec Mazo,Actor/Actress,29,1,27.5,1.0,1.4986,1,0.5014,0.5014
2,1,Tatum O'Neal,Nick Kosovich,Actor/Actress,42,Safe,23.0,2.5,5.449188214070956,8,0.1190619362597715,0.1190619362597715
2,1,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,39,Safe,20.0,6.0,5.251352976548407,4,0.11485267588695129,0.09921828021647625
2,1,George Hamilton,Edyta Sliwinska,Actor/Actress,66,Safe,18.0,8.0,4.733012627781118,2,0.13349368610944076,0.12266987372218882
2,1,Lisa Rinna,Louis van Amstel,Actor/Actress,42,Safe,19.0,7.0,5.219482862297053,3,0.11605532170775706,0.10523150932050511
2,1,Stacy Keibler,Tony Dovolani,Athlete,26,Safe,22.0,4.0,5.3830426939266385,7,0.11365003006614552,0.10102224894768491
2,1,Jerry Rice,Anna Trebunskaya,Athlete,43,Safe,21.0,5.0,5.257366205652435,5,0.12026458208057728,0.10944076969332532
2,1,Giselle Fernandez,Jonathan Roberts,News Anchor,44,Safe,23.0,2.5,5.479855682501503,9,0.11485267588695129,0.08839446782922429
2,1,Master P,Ashly DelGrosso,Singer/Rapper,35,Safe,12.0,10.0,4.263379434756465,1,0.14431749849669273,0.14431749849669273
2,1,Drew Lachey,Cheryl Burke,Singer/Rapper,29,Safe,24.0,1.0,5.359591100420927,6,0.1106434155141311,0.1106434155141311
2,1,Kenny Mayne,Andrea Hale,Sports Broadcaster,46,Eliminated,13.0,9.0,8.603728202044497,10,0.30547203848466625,0.0
2,2,Tatum O'Neal,Nick Kosovich,Actor/Actress,42,Eliminated,17.0,8.0,7.770171149144254,9,0.33924205378973105,0.0
2,2,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,39,Safe,22.0,5.5,4.733496332518337,4,0.12775061124694376,0.11797066014669927
2,2,George Hamilton,Edyta Sliwinska,Actor/Actress,66,Safe,22.0,5.5,4.65281173594132,3,0.13202933985330073,0.13202933985330073
2,2,Lisa Rinna,Louis van Amstel,Actor/Actress,42,Safe,20.0,7.0,4.351466992665037,2,0.14486552567237163,0.14486552567237163
2,2,Stacy Keibler,Tony Dovolani,Athlete,26,Safe,29.0,1.0,4.9156479217603914,7,0.12897310513447433,0.1069682151589242
2,2,Jerry Rice,Anna Trebunskaya,Athlete,43,Safe,23.0,4.0,4.798288508557458,5,0.14119804400977995,0.1265281173594132
2,2,Giselle Fernandez,Jonathan Roberts,News Anchor,44,Safe,24.0,3.0,4.88080684596577,6,0.12408312958435208,0.12408312958435208
2,2,Master P,Ashly DelGrosso,Singer/Rapper,35,Safe,16.0,9.0,3.9706601466992666,1,0.1625916870415648,0.14547677261613692
2,2,Drew Lachey,Cheryl Burke,Singer/Rapper,29,Safe,27.0,2.0,4.9266503667481665,8,0.1265281173594132,0.10207823960880195
2,3,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,39,Safe,26.0,3.0,4.583203732503888,5,0.16485225505443235,0.12752721617418353
2,3,George Hamilton,Edyta Sliwinska,Actor/Actress,66,Safe,22.0,5.5,3.9875583203732505,3,0.17262830482115085,0.1321928460342146
2,3,Lisa Rinna,Louis van Amstel,Actor/Actress,42,Safe,25.0,4.0,4.438569206842923,4,0.16329704510108864,0.1026438569206843
2,3,Stacy Keibler,Tony Dovolani,Athlete,26,Safe,27.0,1.5,4.755832037325039,7,0.15863141524105753,0.09953343701399689
2,3,Jerry Rice,Anna Trebunskaya,Athlete,43,Safe,19.0,7.0,3.3576982892690515,2,0.20217729393468117,0.20217729393468117
2,3,Giselle Fernandez,Jonathan Roberts,News Anchor,44,Eliminated,22.0,5.5,7.4696734059097984,8,0.6018662519440124,0.0
2,3,Master P,Ashly DelGrosso,Singer/Rapper,35,Safe,14.0,8.0,2.76049766718507,1,0.24572317262830481,0.2115085536547434
2,3,Drew Lachey,Cheryl Burke,Singer/Rapper,29,Safe,27.0,1.5,4.6469673405909795,6,0.15552099533437014,0.12441679626749612
2,4,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,39,Safe,25.0,4.0,3.7815738963531667,3,0.1619961612284069,0.1619961612284069
2,4,George Hamilton,Edyta Sliwinska,Actor/Actress,66,Safe,21.0,6.0,3.3324376199616124,1,0.19961612284069097,0.18618042226487524
2,4,Lisa Rinna,Louis van Amstel,Actor/Actress,42,Safe,26.0,2.5,3.8786948176583493,5,0.163531669865643,0.1616122840690979
2,4,Stacy Keibler,Tony Dovolani,Athlete,26,Safe,26.0,2.5,3.866410748560461,4,0.16314779270633398,0.16314779270633398
2,4,Jerry Rice,Anna Trebunskaya,Athlete,43,Safe,24.0,5.0,3.65873320537428,2,0.17965451055662188,0.17965451055662188
2,4,Master P,Ashly DelGrosso,Singer/Rapper,35,Eliminated,8.0,7.0,5.555854126679463,7,0.2833013435700576,0.0
2,4,Drew Lachey,Cheryl Burke,Singer/Rapper,29,Safe,28.0,1.0,3.9262955854126678,6,0.15585412667946258,0.1474088291746641
2,5,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,39,Eliminated,22.0,6.0,4.673665480427045,6,0.29537366548042704,0.002135231316725979
2,5,George Hamilton,Edyta Sliwinska,Actor/Actress,66,Safe,24.0,4.0,3.2306049822064056,2,0.199288256227758,0.19644128113879003
2,5,Lisa Rinna,Louis van Amstel,Actor/Actress,42,Safe,25.0,3.0,3.359786476868327,3,0.18576512455516014,0.18576512455516014
2,5,Stacy Keibler,Tony Dovolani,Athlete,26,Safe,30.0,1.0,3.404626334519573,4,0.19715302491103204,0.19715302491103204
2,5,Jerry Rice,Anna Trebunskaya,Athlete,43,Safe,23.0,5.0,2.8964412811387903,1,0.24092526690391458,0.24092526690391458
2,5,Drew Lachey,Cheryl Burke,Singer/Rapper,29,Safe,27.0,2.0,3.4348754448398573,5,0.18861209964412812,0.1775800711743772
2,6,George Hamilton,Edyta Sliwinska,Actor/Actress,66,Eliminated,23.0,4.5,4.2316513761467895,5,0.4646788990825688,0.0
2,6,Lisa Rinna,Louis van Amstel,Actor/Actress,42,Safe,27.0,3.0,2.68256880733945,2,0.24128440366972478,0.24128440366972478
2,6,Stacy Keibler,Tony Dovolani,Athlete,26,Safe,30.0,1.5,2.9756880733944953,3,0.21788990825688073,0.21100917431192662
2,6,Jerry Rice,Anna Trebunskaya,Athlete,43,Safe,23.0,4.5,2.1155963302752294,1,0.34724770642201835,0.34724770642201835
2,6,Drew Lachey,Cheryl Burke,Singer/Rapper,29,Safe,30.0,1.5,2.9944954128440364,4,0.21330275229357798,0.20045871559633027
2,7,Lisa Rinna,Louis van Amstel,Actor/Actress,42,Eliminated,26.5,3.0,3.5898572131954705,4,0.5898572131954702,0.0
